LocationID,Borough,Zone,lat,lon
1,EWR,Newark Airport,190798.9485613291,935920.967412356
2,Queens,Jamaica Bay,162357.3408416925,1034880.3550895638
3,Bronx,Allerton/Pelham Gardens,254200.63161351514,1026705.0427454349
4,Manhattan,Alphabet City,202996.7589912804,991121.5774769858
5,Staten Island,Arden Heights,142146.59312323463,931508.1859595334
6,Staten Island,Arrochar/Fort Wadsworth,158288.23563588466,964326.5156024903
7,Queens,Astoria,216697.80798416567,1006587.9370377352
8,Queens,Astoria Park,222760.71117118822,1005465.9758637153
9,Queens,Auburndale,212701.75798533816,1042382.7465890987
10,Queens,Baisley Park,186334.6495996685,1042410.0264030797
11,Brooklyn,Bath Beach,158853.54344438302,981744.5804710002
12,Manhattan,Battery Park,195067.56851359934,979958.5584073833
13,Manhattan,Battery Park City,197737.4453040181,979446.6017772967
14,Brooklyn,Bay Ridge,167053.61137378417,976131.4742483494
15,Queens,Bay Terrace/Fort Totten,227535.2508327046,1045554.3291004822
16,Queens,Bayside,217274.8248406771,1048526.2129223156
17,Brooklyn,Bedford,191540.04430649919,998027.9389702741
18,Bronx,Bedford Park,255852.28717889416,1014843.1044654587
19,Queens,Bellerose,207057.49691069266,1059389.9746242834
20,Bronx,Belmont,252233.61460152824,1015959.9812756059
21,Brooklyn,Bensonhurst East,156738.27122323817,986904.7544540972
22,Brooklyn,Bensonhurst West,161080.68364407736,985416.5480893492
23,Staten Island,Bloomfield/Emerson Hill,159615.7758592724,931349.0614914696
24,Manhattan,Bloomingdale,231813.86673937968,993181.52897012
25,Brooklyn,Boerum Hill,189419.19056173705,988152.293531134
26,Brooklyn,Borough Park,169071.47863461834,987594.3945004619
27,Queens,Breezy Point/Fort Tilden/Riis Beach,143791.86294534718,1014586.5152800812
28,Queens,Briarwood/Jamaica Hills,198850.69023545063,1037759.6182967057
29,Brooklyn,Brighton Beach,150564.54784485145,995220.3089277118
30,Queens,Broad Channel,158972.327527198,1033429.0175194405
31,Bronx,Bronx Park,252736.5300042176,1018792.388979
32,Bronx,Bronxdale,253398.3839232065,1021476.9980749837
33,Brooklyn,Brooklyn Heights,193199.39188554956,985497.4113982515
34,Brooklyn,Brooklyn Navy Yard,195290.8146981946,991410.3239397167
35,Brooklyn,Brownsville,181198.91426617317,1009127.5345172524
36,Brooklyn,Bushwick North,194046.78140109527,1007310.658606045
37,Brooklyn,Bushwick South,192662.3439645943,1005347.2533451023
38,Queens,Cambria Heights,192632.52360130736,1057587.7344031297
39,Brooklyn,Canarsie,173368.45318078308,1014303.6231343327
40,Brooklyn,Carroll Gardens,186253.50483739565,985185.9564985249
41,Manhattan,Central Harlem,231965.22206717686,997933.8532829015
42,Manhattan,Central Harlem North,240357.6470289242,1001664.8464483236
43,Manhattan,Central Park,224002.86805984718,993527.8056514068
44,Staten Island,Charleston/Tottenville,132437.33647428508,918269.7110007779
45,Manhattan,Chinatown,198520.08766371614,984790.8233761607
46,Bronx,City Island,249125.29370315772,1043495.5201497746
47,Bronx,Claremont/Bathgate,246498.6337931591,1011787.800569685
48,Manhattan,Clinton East,216674.74618624238,986814.1157501836
49,Brooklyn,Clinton Hill,190757.1532416321,994959.5690291165
50,Manhattan,Clinton West,219020.72821988616,984949.6943743903
51,Bronx,Co-Op City,258303.28688898697,1031161.2130030826
52,Brooklyn,Cobble Hill,189394.1963686927,985292.8093237265
53,Queens,College Point,224667.34627027938,1025496.2864161503
54,Brooklyn,Columbia Street,189748.25172629667,983209.7057082079
55,Brooklyn,Coney Island,148907.26279514362,987592.4719428592
56,Queens,Corona,209199.51194592766,1023985.4438430284
58,Bronx,Country Club,246818.9907267238,1035376.699530882
59,Bronx,Crotona Park,244584.424835822,1013290.1072495033
60,Bronx,Crotona Park East,243609.3858613819,1016506.8114708628
61,Brooklyn,Crown Heights North,185248.74462506853,1002119.2434976349
62,Brooklyn,Crown Heights South,182001.7946208475,999139.5520349542
63,Brooklyn,Cypress Hills,187386.61475527898,1016264.8885965659
64,Queens,Douglaston,217225.4817906466,1053883.5995781259
65,Brooklyn,Downtown Brooklyn/MetroTech,192801.21585180823,988343.4967593346
66,Brooklyn,DUMBO/Vinegar Hill,195446.9720569446,987664.1020371942
67,Brooklyn,Dyker Heights,164224.42499796135,980073.7861563895
68,Manhattan,East Chelsea,211884.53934573932,984096.6095974337
69,Bronx,East Concourse/Concourse Village,241892.44953302972,1007736.1935906193
70,Queens,East Elmhurst,217386.37935532726,1021406.1919476888
71,Brooklyn,East Flatbush/Farragut,173457.80825549204,1002023.1090899861
72,Brooklyn,East Flatbush/Remsen Village,177043.81883396194,1006037.0443225467
73,Queens,East Flushing,213653.8268831297,1037675.9118057278
74,Manhattan,East Harlem North,232417.54279799035,1002518.5654845574
75,Manhattan,East Harlem South,226465.08611574274,1000344.4364952656
76,Brooklyn,East New York,177869.69398357326,1018784.6476938615
77,Brooklyn,East New York/Pennsylvania Avenue,182340.58620906185,1013410.9439664349
78,Bronx,East Tremont,246712.64867522192,1017119.4018102157
79,Manhattan,East Village,204054.85257779818,987995.435822642
80,Brooklyn,East Williamsburg,199796.4618446434,1003427.3289068242
81,Bronx,Eastchester,260534.3229876604,1030975.8226665761
82,Queens,Elmhurst,207883.71258042997,1017638.0733210216
83,Queens,Elmhurst/Maspeth,208128.58589803867,1013935.2702152203
84,Staten Island,Eltingville/Annadale/Prince's Bay,128977.07106580772,930715.5197672447
85,Brooklyn,Erasmus,174561.3740402249,997601.357843892
86,Queens,Far Rockaway,158955.85206438234,1051572.8545641755
87,Manhattan,Financial District North,195992.99779396475,982711.118645333
88,Manhattan,Financial District South,194769.2186722111,980975.2135018478
89,Brooklyn,Flatbush/Ditmas Park,171348.3306258527,994769.1579628522
90,Manhattan,Flatiron,209676.02930208197,985139.8761456996
91,Brooklyn,Flatlands,168125.86039828727,1003853.0677339325
92,Queens,Flushing,216314.69835153024,1031992.7819938742
93,Queens,Flushing Meadows-Corona Park,211655.92392241,1026950.4038793191
94,Bronx,Fordham South,252137.35020611229,1012209.1864047843
95,Queens,Forest Hills,202096.19140635792,1027273.6632441437
96,Queens,Forest Park/Highland Park,194264.17673782574,1021901.626293619
97,Brooklyn,Fort Greene,191237.24058563675,990458.4427031066
98,Queens,Fresh Meadows,206031.8441620377,1046635.6225546125
99,Staten Island,Freshkills Park,146363.22932755228,927800.1500472141
100,Manhattan,Garment District,213755.89006583215,987376.3351651478
101,Queens,Glen Oaks,211373.6296279702,1063051.7167928577
102,Queens,Glendale,194986.24803856458,1018336.3429846602
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,190785.78588233175,971556.4466919102
106,Brooklyn,Gowanus,184768.46987201457,986504.0743768823
107,Manhattan,Gramercy,207678.9292932081,988609.4410129674
108,Brooklyn,Gravesend,152977.20052223894,987410.6809225887
109,Staten Island,Great Kills,137157.2542868161,944361.8966482398
110,Staten Island,Great Kills Park,136173.14889777248,948122.4647210333
111,Brooklyn,Green-Wood Cemetery,177210.96003826105,986840.8818810678
112,Brooklyn,Greenpoint,206839.18099864194,997963.9136383914
113,Manhattan,Greenwich Village North,205930.19707459252,985856.7943487663
114,Manhattan,Greenwich Village South,204373.53580912948,985091.502657301
115,Staten Island,Grymes Hill/Clifton,164777.66651137068,960798.3936249883
116,Manhattan,Hamilton Heights,240914.69648341375,997886.1362378311
117,Queens,Hammels/Arverne,156786.3211084335,1042203.3355069009
118,Staten Island,Heartland Village/Todt Hill,153727.6520413462,948578.7176191432
119,Bronx,Highbridge,244569.3022100702,1004653.1817469645
120,Manhattan,Highbridge Park,247090.60586976906,1003251.2277416004
121,Queens,Hillcrest/Pomonok,204696.86569096462,1038197.0774507079
122,Queens,Hollis,198194.99525826814,1049672.258085535
